# White dwarf EOS from Helmholtz code
# Composition: abar =   13.7, zbar =    6.9
# Temperature =  1.000E+07 K
# density[g/cm^3]  pressure[dyn/cm^2]  internal energy density [erg/cm^3]
# Note internal energy density = rho e_int excludes rest mass energy contribution
   9.817299E+01   4.817475E+16   7.243531E+16
   1.004620E+02   4.933025E+16   7.417202E+16
   1.028045E+02   5.051425E+16   7.595155E+16
   1.052015E+02   5.172745E+16   7.777501E+16
   1.076545E+02   5.297070E+16   7.964354E+16
   1.101646E+02   5.424483E+16   8.155831E+16
   1.127332E+02   5.555063E+16   8.352053E+16
   1.153618E+02   5.688883E+16   8.553142E+16
   1.180516E+02   5.826020E+16   8.759226E+16
   1.208042E+02   5.966553E+16   8.970436E+16
   1.236209E+02   6.110573E+16   9.186907E+16
   1.265034E+02   6.258189E+16   9.408777E+16
   1.294530E+02   6.409493E+16   9.636188E+16
   1.324714E+02   6.564576E+16   9.869287E+16
   1.355602E+02   6.723556E+16   1.010823E+17
   1.387210E+02   6.886535E+16   1.035316E+17
   1.419555E+02   7.053619E+16   1.060424E+17
   1.452654E+02   7.224909E+16   1.086164E+17
   1.486525E+02   7.400506E+16   1.112553E+17
   1.521186E+02   7.580515E+16   1.139608E+17
   1.556654E+02   7.765057E+16   1.167346E+17
   1.592950E+02   7.954279E+16   1.195787E+17
   1.630092E+02   8.148298E+16   1.224949E+17
   1.668101E+02   8.347241E+16   1.254852E+17
   1.706995E+02   8.551259E+16   1.285516E+17
   1.746796E+02   8.760495E+16   1.316962E+17
   1.787526E+02   8.975088E+16   1.349210E+17
   1.829204E+02   9.195172E+16   1.382284E+17
   1.871855E+02   9.420885E+16   1.416205E+17
   1.915500E+02   9.652370E+16   1.450997E+17
   1.960163E+02   9.889787E+16   1.486685E+17
   2.005868E+02   1.013333E+17   1.523292E+17
   2.052638E+02   1.038316E+17   1.560844E+17
   2.100498E+02   1.063946E+17   1.599368E+17
   2.149474E+02   1.090241E+17   1.638891E+17
   2.199593E+02   1.117221E+17   1.679440E+17
   2.250880E+02   1.144905E+17   1.721046E+17
   2.303363E+02   1.173312E+17   1.763736E+17
   2.357069E+02   1.202460E+17   1.807543E+17
   2.412029E+02   1.232369E+17   1.852498E+17
   2.468269E+02   1.263060E+17   1.898632E+17
   2.525820E+02   1.294559E+17   1.945981E+17
   2.584714E+02   1.326890E+17   1.994578E+17
   2.644980E+02   1.360073E+17   2.044460E+17
   2.706652E+02   1.394138E+17   2.095663E+17
   2.769762E+02   1.429111E+17   2.148226E+17
   2.834343E+02   1.465016E+17   2.202189E+17
   2.900431E+02   1.501879E+17   2.257591E+17
   2.968059E+02   1.539727E+17   2.314475E+17
   3.037264E+02   1.578585E+17   2.372884E+17
   3.108082E+02   1.618484E+17   2.432863E+17
   3.180552E+02   1.659460E+17   2.494458E+17
   3.254712E+02   1.701542E+17   2.557718E+17
   3.330600E+02   1.744763E+17   2.622691E+17
   3.408258E+02   1.789160E+17   2.689428E+17
   3.487727E+02   1.834770E+17   2.757982E+17
   3.569049E+02   1.881626E+17   2.828408E+17
   3.652267E+02   1.929766E+17   2.900762E+17
   3.737425E+02   1.979225E+17   2.975101E+17
   3.824569E+02   2.030039E+17   3.051487E+17
   3.913745E+02   2.082252E+17   3.129981E+17
   4.005000E+02   2.135911E+17   3.210647E+17
